t,S,Price
1.9013698630136986,172.5,38.55
0.0,175.56,25.56
0.019178082191780823,175.56,25.66
0.038356164383561646,175.56,25.95
0.057424657534246575,175.56,25.75
0.0766027397260274,175.56,26.15
0.09304109589041096,175.56,26.25
0.11495890410958905,175.56,26.44
0.15331506849315069,175.56,26.46
0.23002739726027396,175.56,27.35
0.30673972602739724,175.56,27.75
0.4026301369863014,175.56,28.8
0.4793424657534247,175.56,29.79
0.5752328767123288,175.56,30.3
0.6519452054794521,175.56,31.0
0.7287671232876712,175.56,31.81
0.9013698630136986,175.56,32.7
1.3231780821917807,175.56,37.6
1.8986301369863015,175.56,40.0
0.010958904109589041,178.97,29.1
0.030136986301369864,178.97,29.15
0.0492054794520548,178.97,29.25
0.06838356164383562,178.97,29.39
0.08482191780821918,178.97,29.46
0.10673972602739726,178.97,29.74
0.1450958904109589,178.97,29.85
0.22180821917808216,178.97,30.45
0.29852054794520544,178.97,30.8
0.3944109589041096,178.97,31.66
0.4711232876712329,178.97,32.64
0.567013698630137,178.97,33.05
0.6437260273972603,178.97,33.95
0.7205479452054795,178.97,34.65
0.8931506849315068,178.97,35.16
1.314958904109589,178.97,40.01
1.8904109589041096,178.97,42.55
0.00821917808219178,178.39,28.7
0.0273972602739726,178.39,28.85
0.04646575342465754,178.39,29.0
0.06564383561643836,178.39,29.09
0.08208219178082192,178.39,29.11
0.10400000000000001,178.39,29.55
0.14235616438356163,178.39,29.54
0.2190684931506849,178.39,30.09
0.2957808219178082,178.39,30.55
0.39167123287671235,178.39,31.4
0.46838356164383566,178.39,32.85
0.5642739726027397,178.39,32.75
0.640986301369863,178.39,34.0
0.7178082191780822,178.39,34.8
0.8904109589041096,178.39,35.85
1.3122191780821917,178.39,41.3
1.8876712328767122,178.39,43.75
0.005479452054794521,178.12,28.45
0.024657534246575342,178.12,28.9
0.043726027397260274,178.12,28.7
0.0629041095890411,178.12,28.95
0.07934246575342466,178.12,28.95
0.10126027397260275,178.12,29.86
0.13961643835616439,178.12,29.6
0.21632876712328766,178.12,30.25
0.29304109589041094,178.12,30.95
0.3889315068493151,178.12,31.65
0.46564383561643835,178.12,34.26
0.5615342465753425,178.12,33.04
0.6382465753424658,178.12,34.7
0.7150684931506849,178.12,35.0
0.8876712328767123,178.12,37.0
1.3094794520547945,178.12,40.89
1.884931506849315,178.12,42.8
0.0027397260273972603,175.0,25.16
0.021917808219178082,175.0,25.3
0.04098630136986302,175.0,25.35
0.06016438356164384,175.0,25.75
0.0766027397260274,175.0,25.75
0.09852054794520548,175.0,25.94
0.11769863013698631,175.0,26.84
0.13687671232876714,175.0,26.34
0.2135890410958904,175.0,27.16
0.2903013698630137,175.0,27.79
0.38619178082191785,175.0,28.65
0.4629041095890411,175.0,29.54
0.5587945205479452,175.0,30.24
0.6355068493150685,175.0,31.35
0.7123287671232876,175.0,32.19
0.8849315068493151,175.0,33.35
1.3067397260273972,175.0,36.85
1.8821917808219177,175.0,40.35
2.3040000000000003,175.0,44.2
0.0,176.21,26.4
0.019178082191780823,176.21,26.4
0.038246575342465755,176.21,26.55
0.057424657534246575,176.21,26.7
0.07386301369863014,176.21,26.84
0.09578082191780822,176.21,27.05
0.11495890410958905,176.21,27.54
0.13413698630136986,176.21,27.31
0.21084931506849314,176.21,28.05
0.28756164383561644,176.21,28.9
0.38345205479452055,176.21,29.7
0.46016438356164385,176.21,30.75
0.556054794520548,176.21,31.35
0.6327671232876713,176.21,32.15
0.7095890410958904,176.21,32.95
0.8821917808219178,176.21,33.95
1.304,176.21,39.0
1.8794520547945206,176.21,42.41
2.301260273972603,176.21,45.01
0.010958904109589041,176.82,27.04
0.030027397260273973,176.82,27.14
0.0492054794520548,176.82,27.3
0.06564383561643836,176.82,27.65
0.08756164383561645,176.82,27.85
0.10673972602739726,176.82,28.49
0.12591780821917808,176.82,27.95
0.20263013698630136,176.82,28.64
0.27934246575342464,176.82,29.1
0.3752328767123288,176.82,30.25
0.45194520547945205,176.82,31.05
0.5478356164383562,176.82,31.74
0.6245479452054795,176.82,32.8
0.7013698630136986,176.82,33.1
0.873972602739726,176.82,34.15
1.2957808219178082,176.82,38.24
1.8712328767123287,176.82,41.15
2.2930410958904113,176.82,45.95
0.00821917808219178,176.67,26.85
0.027287671232876714,176.67,26.74
0.04646575342465754,176.67,26.99
0.0629041095890411,176.67,27.2
0.08482191780821918,176.67,27.35
0.10400000000000001,176.67,27.65
0.12317808219178082,176.67,27.61
0.19989041095890409,176.67,28.25
0.2766027397260274,176.67,28.7
0.37249315068493155,176.67,29.64
0.4492054794520548,176.67,30.64
0.545095890410959,176.67,31.24
0.6218082191780823,176.67,32.15
0.6986301369863014,176.67,32.91
0.8712328767123287,176.67,33.65
1.2930410958904108,176.67,38.84
1.8684931506849316,176.67,41.06
2.290301369863014,176.67,44.99
0.005479452054794521,175.03,25.1
0.024547945205479454,175.03,25.3
0.043726027397260274,175.03,25.4
0.06016438356164384,175.03,25.45
0.08208219178082192,175.03,25.71
0.10126027397260275,175.03,25.95
0.12043835616438356,175.03,26.09
0.19715068493150684,175.03,26.76
0.27386301369863014,175.03,27.25
0.36975342465753425,175.03,28.04
0.44646575342465755,175.03,29.55
0.5423561643835617,175.03,29.81
0.6190684931506849,175.03,30.8
0.6958904109589041,175.03,31.65
0.8684931506849315,175.03,32.7
1.2903013698630137,175.03,36.1
1.8657534246575342,175.03,39.65
2.2875616438356166,175.03,43.4
0.0027397260273972603,176.94,26.95
0.02180821917808219,176.94,27.09
0.04098630136986302,176.94,27.25
0.057424657534246575,176.94,27.36
0.07934246575342466,176.94,27.64
0.09852054794520548,176.94,27.81
0.11769863013698631,176.94,27.8
0.13687671232876714,176.94,29.69
0.19441095890410956,176.94,28.34
0.27112328767123284,176.94,28.9
0.367013698630137,176.94,30.01
0.4437260273972603,176.94,31.05
0.5396164383561644,176.94,31.4
0.6163287671232877,176.94,32.24
0.6931506849315069,176.94,33.0
0.8657534246575342,176.94,33.95
1.2875616438356163,176.94,38.85
1.8630136986301369,176.94,41.0
2.284821917808219,176.94,45.0
0.0,179.98,29.99
0.019068493150684932,179.98,30.04
0.038246575342465755,179.98,30.3
0.05468493150684932,179.98,30.34
0.0766027397260274,179.98,30.6
0.09578082191780822,179.98,30.64
0.11495890410958905,179.98,30.6
